code,criterion,max_points,freeze_date
C1,Деловая программа встречи с компаниями и посещение предприятий,20,2026-09-07
C2,Переводчики и многоязычное сопровождение,10,2026-09-07
C3,Транспорт отели и сложная логистика,15,2026-09-07
C4,Корпоративные группы 30–50 человек и масштабирование,15,2026-09-07
C5,Гибкость срочные изменения и поддержка,15,2026-09-07
C6,Мероприятия конгрессы и incentive,10,2026-09-07
C7,B2B-работа с международными заказчиками,7,2026-09-07
C8,Публичные доказательства,8,2026-09-07
